기업명,대학명,대표자,사업자등록번호,산업분류,업종업태,주소
디비티,전남대학교,김승철,835-87-01065,,환경설비 제조,"광주 북구 첨단과기로208번길 50, 106호"
디씨이솔루션,전남대학교,김갑영,410-81-88667,,"동 압연, 압출 및 연신제품 제조업",
디알큐어,전남대학교,"박인규,정용연",373-87-02042,,항암보조제 및 항염치료제 개발,"전남 화순군 화순읍 서양로 264, 의생명과학융합센터 기초연구동 624호"
디에어,조선대학교,정영석,415-87-02399,,산업용 로봇 제조업,
디에이치글로벌,조선대학교,김명욱,410-86-45979,,기타 가정용 전자기기,
디에이치바이오,조선대학교,김경수,334-88-02097,,"도소매업, 제조업",
디케이이에스,조선대학교,김동찬,233-81-11275,,바이오 연료 및 혼합물 제조업,
디케이이에스,전남대학교,김동찬,233-81-11275,스마트뿌리,바이오연료혼합물 제조업,"광주 북구 첨단과기로208번길 50 조선대산학캠퍼스 304호 (오룡동, 조선대 생산형창업보육센터)"
라나,전남대학교,김재필,108-87-01231,문화콘텐츠,도매 및 소매업,광주광역시 동구 문화전당로26번길 2 (남동) 6층
라라랩스,조선대학교,정우주,154-88-01662,,정보통신업,
라라랩스,전남대학교,정우주,154-88-01662,데이터,정보통신업,"광주 북구 첨단과기로 208번길 43-10 A동 405호 (오룡동, 마루힐 IBC지식산업센터) (오룡동)"
라바이오,전남대학교,박지예,623-87-02743,,멘탈케어 시스템,"광주광역시 북구 용봉로 77, 산학협력2호관 310A호(용봉동, 전남대학교)"
라이프케어테크놀로지,조선대학교,최종배,630-45-00821,,정보통신업,
라임,전남대학교,한창화,516-01-02553,데이터,소프트웨어개발,전남 담양군 담양읍 객사2길 11-23 라임 (객사리)
라피네제이,전남대학교,이정화,409-86-26458,스마트뿌리,제조업,광주 북구 첨단과기로208번길 50 조선대학교 첨단캠퍼스 산학관 3102호
락토마이스터,전남대학교,오세종,817-87-02367,,펫용 유산균 제품,"광주광역시 북구 용봉로77, 지앤알허브 417호"
랩투메디씨알오,조선대학교,주보선,814-88-01309,,"연구개발 및 임상수탁, 의학 및 약학 연구개발업",
러브영(룸영),전남대학교,이채영,568-23-00733,문화콘텐츠,스튜디오/소매,광주광역시 광산구 신창로162번길 24 (신창동) 2층 하얀문
레드원테크놀러지,전남대학교,박경희,410-81-96060,스마트뿌리,로봇/제조업,전라남도 장성군 진원면 나노산단로 186-16 (57247)
레드원테크놀러지,조선대학교,박경희,410-81-96060,,로봇제조,
레인아이,조선대학교,강경철,411-81-85095,,소프트웨어개발업,
로그블록에이아이,전남대학교,문희열,430-06-02370,데이터,서비스/소프트웨어,"광주 북구 용봉로77 농업전문창업보육센터 313호 (용봉동, 전남대학교)"
로보스,전남대학교,박재현,797-86-02391,스마트뿌리,산업용 로봇제조업,"대구 동구 동대구로 489 1701호 (신천동, 대구무역회관)"
로컬앤컴퍼니,조선대학교,박유진,872-86-01752,,콘텐츠 개발,
로컬업,조선대학교,김진희,682-81-01682,,교육,
루나씨앤에이,전남대학교,윤해성,317-86-02614,문화콘텐츠,지식서비스업,"광주 서구 운천로 247 402호 (치평동, 스타타워)"
